State Name,Constituency Type,No Of Seats,Electors - Male,Electors - Female,Electors - Third Gender,Electors - Total,Electors - NRIs,Electors - Service,Voters - Male,Voters - Female,Voters - Third Gender,Voters - Postal,Voters - Total,Voters - NRIs,Voters - Poll %,Rejected Votes (Postal),Evm Rejected Votes,NOTA Votes,Valid Votes Polled,Tendered Votes
NCT OF Delhi,SC,1,1362325,1171386,261,2525394,27,1822,822201,686480,63,4819,1461789,0,57.0,329,2784,9003,1466739,17
Lakshadweep,Total,1,29576,28104,0,57282,0,167,23792,24489,0,618,49119,0,83.0,47,0,133,49454,1
Kerala,GEN,18,12100061,12705950,351,24646072,88096,48044,8529302,9518508,139,226090,17894799,2664,72.0,29985,19035,137706,18242906,563
Andhra Pradesh,SC,4,3162134,3324804,389,6328450,1135,9605,2657795,2682311,154,77180,5355211,0,86.0,5277,15098,54651,5401564,76
Maharashtra,GEN,39,39144947,35975401,4922,74679922,4848,99755,24372034,20835185,1264,202738,46573719,17,61.0,24747,33573,329444,46515962,3656
Manipur,ST,1,509200,525786,36,1054319,0,12326,386420,411624,10,6003,789401,0,75.0,577,2397,7200,792697,0
Lakshadweep,Total,1,29858,27996,0,57027,0,166,24408,24617,0,615,48933,0,86.0,46,0,133,49800,1
Madhya Pradesh,ST,6,5853938,5934841,190,12022046,4,7382,4360261,4236133,107,23538,8491961,0,71.0,4071,423,124824,8561192,40
Kerala,GEN,18,12027445,12952143,349,25020013,86930,48003,8639872,9204270,144,224852,17945830,2642,72.0,29296,18950,137962,18141375,559
Andhra Pradesh,SC,4,3139946,3297710,393,6531592,1143,9391,2634439,2718433,149,76481,5415867,0,86.0,5189,14796,56068,5332379,75
Rajasthan,Total,25,28090195,25465338,626,54149600,291,141186,17022992,15620968,339,379027,33595975,0,62.0,43117,3563,284956,32427594,671
Goa,Total,2,568352,603564,12,1172066,83,304,432197,469080,9,11130,915421,0,77.0,883,0,11033,894477,22
